feature_type,feature_name,command_name,op_type,database,collection,usage_count,first_seen,last_seen,max_duration_ms,sample_path,sample_value,oracle_support_status,oracle_support_since,oracle_category,oracle_feature
command,find,find,query,oracle_mongo_api_test,system.profile,15,2026-04-10T04:41:01.684000+00:00,2026-04-10T07:28:35.564000+00:00,0,command.find,"""system.profile""",Supported,19c,Query and Write Operation,find
stage,$match,aggregate,command,oracle_mongo_api_test,orders,4,2026-04-10T04:41:01.612000+00:00,2026-04-10T04:41:01.631000+00:00,12,command.pipeline[0].$match,"{""status"": {""$ne"": ""CANCELLED""}}",Supported,19c,Aggregation Pipeline Stages,nan
command,aggregate,aggregate,command,oracle_mongo_api_test,orders,3,2026-04-10T04:41:01.612000+00:00,2026-04-10T04:41:01.631000+00:00,12,command.aggregate,"""orders""",Supported,26ai,Aggregation Commands,aggregate
command,update,update,update,oracle_mongo_api_test,order_metrics,3,2026-04-10T04:41:01.630000+00:00,2026-04-10T04:41:01.631000+00:00,11,command.update,null,Supported,19c,Query and Write Operation,update
stage,$project,aggregate,command,oracle_mongo_api_test,orders,3,2026-04-10T04:41:01.612000+00:00,2026-04-10T04:41:01.615000+00:00,1,command.pipeline[6].$project,"{""amountBucket"": 1, ""createdAt"": 1, ""orderNo"": 1}",Supported,19c,Aggregation Pipeline Stages,nan
expression,$avg,aggregate,command,oracle_mongo_api_test,orders,2,2026-04-10T04:41:01.612000+00:00,2026-04-10T04:41:01.631000+00:00,12,command.pipeline[1].$group.avgAmount.$avg,"""$amount""",Supported,26ai,Accumulator Operators,nan
expression,$cond,aggregate,command,oracle_mongo_api_test,orders,2,2026-04-10T04:41:01.612000+00:00,2026-04-10T04:41:01.615000+00:00,1,command.pipeline[1].$set.amountBucket.$cond,"[{""$gte"": [""$amount"", 200]}, ""high"", ""normal""]",Supported,26ai,Conditional Operators,nan
expression,$ifNull,aggregate,command,oracle_mongo_api_test,orders,2,2026-04-10T04:41:01.612000+00:00,2026-04-10T04:41:01.612000+00:00,1,command.pipeline[1].$project.emailText.$ifNull,"[""$note"", ""missing""]",Supported,26ai,Conditional Operators,nan
expression,$sum,aggregate,command,oracle_mongo_api_test,orders,2,2026-04-10T04:41:01.612000+00:00,2026-04-10T04:41:01.631000+00:00,12,command.pipeline[1].$group.totalAmount.$sum,"""$amount""",Supported,26ai,Accumulator Operators,nan
operator,$eq,find,query,oracle_mongo_api_test,orders,2,2026-04-10T04:41:01.607000+00:00,2026-04-10T04:41:01.607000+00:00,0,command.filter.$or[0].discount.$eq,16,Supported,19c,Comparison Query Operators,nan
operator,$ne,aggregate,command,oracle_mongo_api_test,orders,2,2026-04-10T04:41:01.615000+00:00,2026-04-10T04:41:01.631000+00:00,12,command.pipeline[0].$match.status.$ne,"""CANCELLED""",Supported,19c,Comparison Query Operators,nan
stage,$group,aggregate,command,oracle_mongo_api_test,orders,2,2026-04-10T04:41:01.612000+00:00,2026-04-10T04:41:01.631000+00:00,12,command.pipeline[1].$group,"{""_id"": ""$status"", ""avgAmount"": {""$avg"": ""$amount""}, ""totalAmount"": {""$sum"": ""$amount""}}",Supported,26ai,Aggregation Pipeline Stages,nan
stage,$sort,aggregate,command,oracle_mongo_api_test,orders,2,2026-04-10T04:41:01.612000+00:00,2026-04-10T04:41:01.615000+00:00,1,command.pipeline[3].$sort,"{""createdAt"": -1}",Supported,26ai,Aggregation Pipeline Stages,nan
command,aggregate,aggregate,insert,oracle_mongo_api_test,orders,1,2026-04-10T04:41:01.647000+00:00,2026-04-10T04:41:01.647000+00:00,12,command.aggregate,"""orders""",Supported,26ai,Aggregation Commands,aggregate
command,count,count,command,oracle_mongo_api_test,orders,1,2026-04-10T04:41:01.659000+00:00,2026-04-10T04:41:01.659000+00:00,0,command.count,"""orders""",Supported,19c,Aggregation Commands,count
command,createIndexes,createIndexes,command,oracle_mongo_api_test,orders,1,2026-04-10T04:41:01.679000+00:00,2026-04-10T04:41:01.679000+00:00,16,command.createIndexes,"""orders""",Supported,26ai. No-op (19c),Database Commands,createIndexes
command,delete,delete,remove,oracle_mongo_api_test,orders,1,2026-04-10T04:41:01.654000+00:00,2026-04-10T04:41:01.654000+00:00,0,command.delete,null,Supported,19c,Query and Write Operation,delete
command,distinct,distinct,command,oracle_mongo_api_test,orders,1,2026-04-10T04:41:01.657000+00:00,2026-04-10T04:41:01.657000+00:00,0,command.distinct,"""orders""",Supported,19c,Aggregation Commands,distinct
command,dropIndexes,dropIndexes,command,oracle_mongo_api_test,orders,1,2026-04-10T04:41:01.680000+00:00,2026-04-10T04:41:01.680000+00:00,0,command.dropIndexes,"""orders""",Supported,26ai. No-op (19c),Database Commands,dropIndexes
command,find,find,query,oracle_mongo_api_test,orders,1,2026-04-10T04:41:01.607000+00:00,2026-04-10T04:41:01.607000+00:00,0,command.find,"""orders""",Supported,19c,Query and Write Operation,find
command,insert,insert,insert,oracle_mongo_api_test,orders,1,2026-04-10T04:41:01.594000+00:00,2026-04-10T04:41:01.594000+00:00,1,command.insert,"""orders""",Supported,19c,Query and Write Operation,insert
command,listIndexes,listIndexes,command,oracle_mongo_api_test,orders,1,2026-04-10T04:41:01.661000+00:00,2026-04-10T04:41:01.661000+00:00,0,command.listIndexes,"""orders""",Supported,19c,Database Commands,listIndexes
command,update,update,command,oracle_mongo_api_test,orders,1,2026-04-10T04:41:01.655000+00:00,2026-04-10T04:41:01.655000+00:00,0,command.update,"{""$inc"": {""amount"": 1}, ""$set"": {""auditFlag"": true, ""auditedAt"": ""2026-04-10 04:41:01.654000+00:00""}}",Supported,19c,Query and Write Operation,update
expression,$concat,aggregate,command,oracle_mongo_api_test,orders,1,2026-04-10T04:41:01.612000+00:00,2026-04-10T04:41:01.612000+00:00,1,command.pipeline[1].$project.itemSkus.$map.in.$concat,"[""$$item.sku"", ""-"", {""$toString"": ""$$item.qty""}]",Supported,26ai,String Operators,nan
